racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM,hot_code,raceid,order_of_finish_num,popularity_num,horse_weight_num,tanshou_odds_num,tanshou_odds_at10_num,IDM_num,hot_code_num,tanshou_flag
216220101,1410370320160710,マイネルトルペード　　　　　　　　　,2,4,412,15.8,1.3,14.4,1.4,31,3,2162201,2,4,412,15.8,14.4,31.0,3.0,False
216220102,1410026420160710,アントレーン　　　　　　　　　　　　,6,2,418,6.9,1,6.4,1.1,18,3,2162201,6,2,418,6.9,6.4,18.0,3.0,False
216220103,1410432120160710,ジャストヒーロー　　　　　　　　　　,8,9,458,145.4,10,58.3,10.1,11,3,2162201,8,9,458,145.4,58.3,11.0,3.0,False
216220104,1410141620160710,サツキチャン　　　　　　　　　　　　,7,5,408,19.8,1.5,16.4,1.4,15,3,2162201,7,5,408,19.8,16.4,15.0,3.0,False
216220105,1410515620160710,サクセスムーン　　　　　　　　　　　,4,8,442,102.3,7.9,39.1,5.4,29,3,2162201,4,8,442,102.3,39.1,29.0,3.0,False
216220106,1410072320160710,マイネルヘミニス　　　　　　　　　　,3,3,460,14.5,1.7,12.3,1.7,28,3,2162201,3,3,460,14.5,12.3,28.0,3.0,False
216220107,1410167820160710,ピーチメルバ　　　　　　　　　　　　,5,7,452,97.2,7.9,44.4,4.9,21,3,2162201,5,7,452,97.2,44.4,21.0,3.0,False
216220109,1410444520160710,エスケークラウン　　　　　　　　　　,1,1,492,1.1,1,1.3,1,36,3,2162201,1,1,492,1.1,1.3,36.0,3.0,True
216220201,1310080720160710,サンポーツマス　　　　　　　　　　　,8,9,484,61.9,10.5,21.6,6.2,31,3,2162202,8,9,484,61.9,21.6,31.0,3.0,False
216220202,1310451920160710,クインズジュエリー　　　　　　　　　,12,8,434,24.6,4.6,18.4,4.5,23,3,2162202,12,8,434,24.6,18.4,23.0,3.0,False
216220203,1310599020160710,キャンベルアーリー　　　　　　　　　,10,7,436,16.4,3.1,8.5,2.8,26,3,2162202,10,7,436,16.4,8.5,26.0,3.0,False
216220204,1310454320160710,フジワンエンジェル　　　　　　　　　,5,1,448,3.7,1.3,6.2,1.4,35,3,2162202,5,1,448,3.7,6.2,35.0,3.0,False
216220205,1310402420160710,アカプルコノユウヒ　　　　　　　　　,6,10,442,63.1,7.6,28.3,6.7,34,3,2162202,6,10,442,63.1,28.3,34.0,3.0,False
216220206,1310438120160710,ゴセイバイシキモク　　　　　　　　　,7,11,478,137.9,18,62.8,9,30,3,2162202,7,11,478,137.9,62.8,30.0,3.0,False
216220207,1310365520160710,グランジュテ　　　　　　　　　　　　,3,5,436,7.9,2.1,6.9,2.2,36,3,2162202,3,5,436,7.9,6.9,36.0,3.0,False
216220208,1310282020160710,トルシュローズ　　　　　　　　　　　,1,2,454,3.7,1.3,5.1,1.6,51,3,2162202,1,2,454,3.7,5.1,51.0,3.0,True
216220209,1310157720160710,フレッシュギャル　　　　　　　　　　,2,6,436,10.5,2.8,6.7,2.6,38,3,2162202,2,6,436,10.5,6.7,38.0,3.0,False
216220210,1310365120160710,イネディット　　　　　　　　　　　　,11,12,394,184.7,24.1,70.9,9.6,23,3,2162202,11,12,394,184.7,70.9,23.0,3.0,False
216220211,1311009320160710,サーブルクーリール　　　　　　　　　,9,3,458,4.9,1.5,5.8,1.8,29,3,2162202,9,3,458,4.9,5.8,29.0,3.0,False
216220212,1310096820160710,アンペラール　　　　　　　　　　　　,4,4,438,6.8,1.8,6.8,1.9,38,3,2162202,4,4,438,6.8,6.8,38.0,3.0,False
216220301,1310167720160710,オーゴンワンダー　　　　　　　　　　,10,16,414,177.6,23.2,64.1,7.8,33,3,2162203,10,16,414,177.6,64.1,33.0,3.0,False
216220302,1310124420160710,アルファジェイド　　　　　　　　　　,15,11,486,82.5,14.9,27.6,5.8,12,3,2162203,15,11,486,82.5,27.6,12.0,3.0,False
216220303,1310547320160710,ポケットチャーリー　　　　　　　　　,5,3,430,5.9,1.6,9.9,2,42,3,2162203,5,3,430,5.9,9.9,42.0,3.0,False
216220304,1310460820160710,タイセイフラム　　　　　　　　　　　,11,15,420,175.2,23.4,99.1,9.9,33,3,2162203,11,15,420,175.2,99.1,33.0,3.0,False
216220305,1310356520160710,アルビオン　　　　　　　　　　　　　,2,6,422,11.6,2.5,13.9,3.2,43,3,2162203,2,6,422,11.6,13.9,43.0,3.0,False
