racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM
216220101,1410370320160710,マイネルトルペード　　　　　　　　　,2,4,412,15.8,1.3,14.4,1.4,31
216220102,1410026420160710,アントレーン　　　　　　　　　　　　,6,2,418,6.9,1,6.4,1.1,18
216220103,1410432120160710,ジャストヒーロー　　　　　　　　　　,8,9,458,145.4,10,58.3,10.1,11
216220104,1410141620160710,サツキチャン　　　　　　　　　　　　,7,5,408,19.8,1.5,16.4,1.4,15
216220105,1410515620160710,サクセスムーン　　　　　　　　　　　,4,8,442,102.3,7.9,39.1,5.4,29
216220106,1410072320160710,マイネルヘミニス　　　　　　　　　　,3,3,460,14.5,1.7,12.3,1.7,28
216220107,1410167820160710,ピーチメルバ　　　　　　　　　　　　,5,7,452,97.2,7.9,44.4,4.9,21
216220108,1410112620160710,キップヨシ　　　　　　　　　　　　　,0,6,470,49.9,3.8,26.4,4.8,   
216220109,1410444520160710,エスケークラウン　　　　　　　　　　,1,1,492,1.1,1,1.3,1,36
216220201,1310080720160710,サンポーツマス　　　　　　　　　　　,8,9,484,61.9,10.5,21.6,6.2,31
216220202,1310451920160710,クインズジュエリー　　　　　　　　　,12,8,434,24.6,4.6,18.4,4.5,23
216220203,1310599020160710,キャンベルアーリー　　　　　　　　　,10,7,436,16.4,3.1,8.5,2.8,26
216220204,1310454320160710,フジワンエンジェル　　　　　　　　　,5,1,448,3.7,1.3,6.2,1.4,35
216220205,1310402420160710,アカプルコノユウヒ　　　　　　　　　,6,10,442,63.1,7.6,28.3,6.7,34
216220206,1310438120160710,ゴセイバイシキモク　　　　　　　　　,7,11,478,137.9,18,62.8,9,30
216220207,1310365520160710,グランジュテ　　　　　　　　　　　　,3,5,436,7.9,2.1,6.9,2.2,36
216220208,1310282020160710,トルシュローズ　　　　　　　　　　　,1,2,454,3.7,1.3,5.1,1.6,51
216220209,1310157720160710,フレッシュギャル　　　　　　　　　　,2,6,436,10.5,2.8,6.7,2.6,38
216220210,1310365120160710,イネディット　　　　　　　　　　　　,11,12,394,184.7,24.1,70.9,9.6,23
216220211,1311009320160710,サーブルクーリール　　　　　　　　　,9,3,458,4.9,1.5,5.8,1.8,29
216220212,1310096820160710,アンペラール　　　　　　　　　　　　,4,4,438,6.8,1.8,6.8,1.9,38
216220301,1310167720160710,オーゴンワンダー　　　　　　　　　　,10,16,414,177.6,23.2,64.1,7.8,33
216220302,1310124420160710,アルファジェイド　　　　　　　　　　,15,11,486,82.5,14.9,27.6,5.8,12
216220303,1310547320160710,ポケットチャーリー　　　　　　　　　,5,3,430,5.9,1.6,9.9,2,42
216220304,1310460820160710,タイセイフラム　　　　　　　　　　　,11,15,420,175.2,23.4,99.1,9.9,33
216220305,1310356520160710,アルビオン　　　　　　　　　　　　　,2,6,422,11.6,2.5,13.9,3.2,43
216220306,1310374320160710,ダーリンラブラ　　　　　　　　　　　,9,7,446,19.1,3,18.4,4.1,37
216220307,1310610620160710,サトノオニキス　　　　　　　　　　　,1,1,412,3.4,1.4,3.4,1.9,44
216220308,1310258920160710,スイートメモリーズ　　　　　　　　　,3,2,502,3.9,1.4,7.4,1.9,43
216220309,1310596520160710,クラシカルチュチュ　　　　　　　　　,7,4,460,6.9,2.1,5.6,2.3,41
216220310,1310205920160710,ジャスミンノカオリ　　　　　　　　　,8,5,446,9,2.5,5.9,2,39
216220311,1310038020160710,ワンダーラスト　　　　　　　　　　　,12,12,416,101,17.7,33.1,7.2,27
216220312,1310159620160710,レッドイリス　　　　　　　　　　　　,13,14,384,160.7,38.9,44.7,11.3,17
216220313,1310606720160710,アドマイヤディーバ　　　　　　　　　,6,8,418,22.2,4.2,26.3,4.9,41
216220314,1310539820160710,エアエマイユ　　　　　　　　　　　　,14,13,392,155.5,37.2,47.8,16.1,18
216220315,1310616720160710,ハッピーチャンス　　　　　　　　　　,0,10,452,54.5,9.8,32.7,7.4,   
216220316,1310640020160710,ラブミーリル　　　　　　　　　　　　,4,9,382,25.2,5.5,18.5,5.7,40
216220401,1310448820160710,ダンツペレット　　　　　　　　　　　,4,2,492,5.6,1.4,7.3,1.4,35
216220402,1310110320160710,ブラックスナイパー　　　　　　　　　,7,13,484,256.9,30.6,82.9,8.1,22
216220403,1310632120160710,アタックガール　　　　　　　　　　　,2,4,418,6.5,1.4,9.4,2.2,42
216220404,1310146520160710,ウインミダス　　　　　　　　　　　　,12,11,452,84.9,11.4,32.1,6.4,-25
216220405,1310593520160710,アシャカクール　　　　　　　　　　　,10,9,414,61.4,14.4,70,11.4,21
216220406,1310449020160710,リルージュ　　　　　　　　　　　　　,0,10,450,82.9,9.5,33.5,8.1,   
216220407,1310009420160710,イエスアイゲット　　　　　　　　　　,5,7,422,25.1,3.1,20.6,3.7,28
216220408,1310500920160710,キンショードリーム　　　　　　　　　,9,8,492,34.2,5.9,32,6.3,23
216220409,1310092220160710,アメンボ　　　　　　　　　　　　　　,11,6,460,12.2,2.9,6,2.5,17
216220410,1310271420160710,アッテンツィオーネ　　　　　　　　　,6,3,464,5.8,1.6,11.6,1.5,28
216220411,1310404520160710,ロバストミノル　　　　　　　　　　　,3,1,492,2.1,1.2,2.7,1.2,42
216220412,1310281820160710,メイショウレンマ　　　　　　　　　　,1,5,460,10.9,2.7,4.4,2.4,42
216220413,1310445020160710,ギフトアワード　　　　　　　　　　　,8,12,430,199,15.8,88.7,6.8,20
216220501,1410070120160710,マイネルパンドーロ　　　　　　　　　,3,8,446,23.8,5,11.1,2.6,28
216220502,1410358820160710,ロザンジェ　　　　　　　　　　　　　,7,7,452,21.6,3.6,19.5,4.2,22
216220503,1410545020160710,ホウオウステップ　　　　　　　　　　,9,6,448,15.8,2.9,9.1,1.6,15
216220504,1410392320160710,イエローダイヤ　　　　　　　　　　　,6,5,458,8.2,1.8,8,2.3,24
216220505,1410073320160710,マイネルスフェーン　　　　　　　　　,5,4,422,6.5,1.5,4.4,1.6,24
216220506,1410507120160710,アスカショウダイ　　　　　　　　　　,8,9,434,101,13.9,61.6,8.4,19
216220507,1410620520160710,サトノアリシア　　　　　　　　　　　,2,3,464,4.9,1.5,5.7,1.8,35
216220508,1410052220160710,タガノアシュラ　　　　　　　　　　　,1,1,502,3.4,1.2,3.9,1.5,42
216220509,1410289520160710,サテンドール　　　　　　　　　　　　,4,2,456,3.8,1.3,6.6,1.9,25
216220601,1310014220160710,キタノタイセツ　　　　　　　　　　　,15,8,414,37.7,6.8,12.7,3.1,27
216220602,1310614920160710,ハンナ　　　　　　　　　　　　　　　,12,5,404,8.2,2,11.5,2.7,37
216220603,1310342820160710,カゼノシッポ　　　　　　　　　　　　,1,1,428,2.2,1.1,2.5,1.4,50
216220604,1310185820160710,ノーアトゥーン　　　　　　　　　　　,8,11,488,46.3,8.1,20.1,2.8,39
216220605,1310222620160710,ダートリーダー　　　　　　　　　　　,5,7,448,26.2,3.5,26.8,4.1,39
216220606,1310360020160710,アドマイヤヒナタ　　　　　　　　　　,4,6,404,15.1,3.1,16.8,3.4,42
216220607,1310245220160710,マニワッショイ　　　　　　　　　　　,6,14,468,131.4,14.7,43.5,10.1,42
216220608,1310234620160710,マイネルゴール　　　　　　　　　　　,13,15,450,138.5,23.5,47.9,7.8,37
216220609,1310436620160710,スリーアリアン　　　　　　　　　　　,9,13,446,87.1,12.7,38,7.7,38
216220610,1310002220160710,アポロノホウリン　　　　　　　　　　,11,12,472,51,8.2,29.1,4.8,37
216220611,1310397020160710,レパーズタウン　　　　　　　　　　　,14,2,434,6.2,2,18.3,3.5,33
216220612,1310530620160710,ステイインハート　　　　　　　　　　,3,9,408,37.9,5.8,7.7,2.8,40
216220613,1310324220160710,ガロンヌ　　　　　　　　　　　　　　,10,4,498,7.6,1.8,12.2,3.6,36
216220614,1310135120160710,ワタシニマカセテ　　　　　　　　　　,7,10,420,38.9,6.1,21.1,4.3,40
216220615,1310151820160710,ルピナスベル　　　　　　　　　　　　,2,3,452,6.8,1.8,7.5,3.2,45
216220701,1310234520160710,ビレッジエンパイア　　　　　　　　　,9,8,468,32.8,4.4,22.2,3.1,36
216220702,1310327420160710,エイシンキロオル　　　　　　　　　　,8,6,444,27.7,3.7,18.2,4.5,38
216220703,1310031520160710,ライディングハイ　　　　　　　　　　,6,7,480,29.4,4.8,13.7,3,36
216220704,1310331720160710,スティルプリンス　　　　　　　　　　,11,9,480,37.7,5.7,31.2,5.1,32
216220705,1210520520160710,ノボリクリーン　　　　　　　　　　　,1,1,468,2.6,1.1,2.4,1.1,51
216220706,1210099920160710,セイウンアワード　　　　　　　　　　,4,5,522,18.7,2.4,15.1,2.4,43
216220707,1010295020160710,バーニーズ　　　　　　　　　　　　　,10,3,488,4.6,1.3,8,1.7,35
216220708,1110288420160710,スズカレビン　　　　　　　　　　　　,12,12,486,143.8,22.2,37.7,8.7,37
216220709,1210624720160710,ハードアスリート　　　　　　　　　　,5,10,508,41.5,5.1,17.4,2.1,43
216220710,1210120020160710,ラッキーダン　　　　　　　　　　　　,7,4,466,17.5,2.2,16.9,3.6,39
216220711,1110008320160710,マダムアグライア　　　　　　　　　　,2,11,484,78.7,6.8,52,7.5,47
216220712,1310437820160710,パルパルパンダ　　　　　　　　　　　,3,2,468,2.6,1.2,3.3,1.1,42
